v 480
Track0
00 FF 51 00 92 7C 00 C0 69 1E B0 07 7F 1E 0A 40 
A2 17 FE 00 84 0C FE 00 D9 12 FE 01 67 0C FE 01 
27 12 FE 01 7F 0C FE 01 95 1E FE 01 99 12 FE 01 
7B 0C FE 01 A1 1E FE 01 A5 12 FE 01 87 0C 21 7B 
81 5C 81 70 2D 79 81 5C 81 70 20 77 81 5C 81 70 
2C 6F 81 5C 81 70 1B 77 81 5C 81 70 27 73 81 5C 
81 70 1C 7B 81 5C 81 70 28 7B 81 5C 81 70 1D 73 
81 5C 81 70 29 77 81 5C 81 70 22 7B 81 5C 81 70 
2E 79 FE 00 30 0B 75 81 5C 81 70 1E 7F 81 5C 81 
70 2A 7B 81 5C 81 70 1D 7B 81 5C 81 70 29 7D 81 
5C 81 70 1C 79 81 5C 81 70 28 77 81 5C 81 70 1B 
75 81 5C 81 70 27 77 81 5C 81 70 1A 7B 81 5C 81 
70 26 7B 81 5C 81 70 1F 6E 81 66 81 70 22 6E 81 
66 81 70 1F 6E 81 66 81 70 25 6E 6E 78 1F 6E 82 
06 82 10 1F 6E 4E 58 22 6E 81 66 FE 00 26 08 25 
6E 6E 78 1F 6E 82 5E 82 68 FE 00 2C 1E FE 00 2C 
0F 5E 82 68 FE 00 37 1E FE 00 37 0F 5E 82 68 FE 
00 42 1E FE 00 42 0F 5E 82 68 FE 00 4D 1E FE 00 
4D 0F 5E 82 68 FE 00 58 1E FE 00 58 0F 5E 82 68 
FE 00 63 1E FE 00 63 0F 5E 82 68 FE 00 6E 1E FE 
00 6E 0E 6E 78 24 7F 83 42 83 60 24 7F 82 56 82 
74 24 79 82 3E 82 5C 1F 7F 83 42 83 60 22 7B 81 
52 81 70 FE 00 1E 12 24 7F 83 42 83 60 27 7B 81 
52 81 70 20 7F 83 42 83 60 20 7F 82 56 82 74 20 
79 82 3E 82 5C 1B 7F 83 42 83 60 1E FE 00 1E 17 
20 7F 83 42 83 60 23 7B 81 52 81 70 FE 00 57 1E 
FE 00 5B 12 FE 00 3D 25 FE 00 3A 17 FE 00 1C 0C 
29 7F 83 42 83 60 29 7F 82 56 82 74 29 79 82 3E 
82 5C FE 00 5B 0C FE 02 55 19 7B 81 52 81 70 FE 
02 92 12 FE 03 20 0C FE 02 E0 12 FE 03 38 0C FE 
03 4E 12 FE 03 30 0C FE 03 56 1E FE 03 5A 12 FE 
03 3C 0C FE 03 62 1E 21 7F 8D 55 8D 55 FF 2F 


Track5
00 C5 0C 1E B5 07 7D 1E 0A 50 1E 5B 26 9D 26 95 
40 5A 50 81 02 40 3C 50 6E 42 5A 50 14 40 46 50 
6E 42 3C 50 6E 40 5A 50 14 42 46 50 6E 40 3C 50 
81 02 40 46 50 64 FE 00 26 08 81 02 40 46 50 64 
FE 00 30 08 81 02 40 46 50 64 43 5A 50 81 02 43 
3C 50 81 02 43 46 50 64 FE 00 48 26 FE 00 4C 08 
81 02 40 46 50 64 FE 00 56 08 FE 00 26 14 FE 00 
5E 26 FE 00 62 08 81 02 40 46 50 64 FE 00 6C 08 
FE 00 3C 14 FE 00 74 26 FE 00 78 08 81 02 40 46 
50 64 FE 00 82 08 FE 00 52 14 FE 00 8A 26 FE 00 
8E 08 81 02 40 46 50 64 FE 00 98 08 FE 00 68 14 
FE 00 A0 26 FE 00 A4 08 81 02 40 46 50 64 FE 00 
AE 08 FE 00 7E 14 FE 00 B6 26 FE 00 BA 08 81 02 
40 46 50 64 FE 00 C4 08 FE 00 94 14 FE 00 CC 14 
14 40 5A 50 5A FE 00 C0 0B 14 42 5A 50 6E 40 46 
50 64 40 5A 50 1E 40 5A 50 64 FE 00 CD 09 40 5A 
50 1E 40 5A 50 64 FE 00 D9 09 43 5A 50 1E 40 5A 
50 64 FE 00 C3 09 40 6E 50 1E 43 5A 50 81 52 42 
6E 50 81 70 40 6E 50 82 68 40 6E 50 82 68 40 6E 
50 82 68 43 6E 50 82 68 40 6E 50 81 70 42 6E 50 
81 70 40 6E 50 82 68 FE 00 23 0A 43 FE 00 27 07 
81 70 FE 00 33 28 FE 00 2D 1E FE 00 31 17 14 40 
6E 50 81 5C 40 6E 50 14 FE 00 49 08 64 40 6E 50 
82 04 40 6E 50 64 40 6E 50 82 04 40 6E 50 64 43 
6E 50 82 04 43 6E 50 64 FE 00 50 0F FE 00 63 17 
FE 00 32 0A FE 00 75 08 FE 00 2C 1C FE 00 64 0F 
FE 00 77 1E FE 00 7B 0F 3C 6E 50 81 70 3E 6E 50 
81 70 3C 6E 50 82 68 3C 6E 50 82 68 3C 6E 50 82 
68 3F 6E 50 82 68 3C 6E 50 81 70 3E 6E 50 81 70 
3C 6E 50 82 68 FE 00 23 0A 3F FE 00 A6 13 FE 00 
B5 1E FE 00 B9 0F FE 00 3E 2D FE 00 33 0F 45 6E 
50 81 70 47 6E 50 81 70 45 6E 50 82 68 45 6E 50 
82 68 45 6E 50 82 68 48 6E 50 82 68 45 6E 50 81 
70 47 6E 50 81 70 45 6E 50 82 68 FE 00 23 0A 48 
6E 50 82 68 47 6E 50 81 70 49 FE 00 3B 07 82 68 
47 6E 50 82 68 47 6E 50 82 68 4A 6E 50 82 68 47 
6E 50 81 70 49 FE 00 56 07 82 68 47 FE 00 2C 07 
82 68 4A FE 00 4B 13 FE 00 5A 0F FE 00 B3 0F 3B 
6E 50 82 68 3B 6E 50 82 68 3E FE 01 36 13 FE 01 
45 1E FE 01 49 1E FE 01 4D 17 FE 01 1C 0A FE 01 
5F 08 FE 01 16 1C FE 01 4E 0F FE 01 61 17 FE 01 
30 0A FE 01 73 08 FE 01 2A 1C FE 01 62 0F FE 01 
75 17 FE 01 44 0A FE 01 87 08 FE 01 3E 1C FE 01 
76 0F FE 01 89 0F FE 01 0E 2D FE 01 03 0F FE 01 
86 0F FE 01 99 1E FE 01 9D 0F FE 01 22 26 14 3C 
6E 50 81 5C 3C 6E 50 14 FE 01 2B 08 64 3C 6E 50 
82 04 3C 6E 50 64 3C 6E 50 82 04 3C 6E 50 64 3F 
6E 50 82 04 3F 6E 50 64 FE 01 0A 2D FE 00 FF 0F 
47 6E 50 81 70 49 FE 01 17 07 FE 00 DC 17 FE 01 
1F 07 FE 00 E4 11 FE 01 28 1E FE 01 72 0F FE 00 
BF 0B FE 01 EE 13 FE 01 FD 1E FE 02 01 1E FE 02 
05 17 FE 01 D4 0A FE 02 17 08 FE 01 CE 1B 81 A5 
64 43 FE 01 4E 07 81 70 43 FE 02 1A 09 43 6E 50 
82 68 46 FE 02 24 07 81 70 45 6E 50 81 70 43 FE 
02 30 09 43 6E 50 82 68 46 FE 01 AC 07 81 70 41 
6E 50 81 70 3F FE 01 B8 09 3F 6E 50 82 68 42 FE 
01 C2 07 81 70 41 6E 50 81 70 3F FE 01 CE 09 3F 
6E 50 82 68 42 FE 02 66 07 FE 00 42 08 FE 02 6E 
09 43 6E 50 82 68 46 FE 02 78 07 FE 00 54 08 FE 
02 80 09 43 6E 50 82 68 46 FE 01 FC 07 FE 00 50 
08 FE 02 04 09 3F 6E 50 82 68 42 FE 02 0E 07 FE 
00 62 08 FE 02 16 09 3F 6E 50 82 68 42 FE 01 DA 
07 81 70 4A 6E 50 81 70 48 FE 01 E6 09 48 6E 50 
82 68 4B FE 01 D3 0A FE 02 08 07 FE 01 CD 11 FE 
02 11 1E FE 02 5B 0F FE 01 A8 0B FE 02 D7 13 FE 
02 E6 1E FE 02 EA 1E FE 02 EE 1E FE 02 F2 0D 50 
FF 2F 

Track6
00 C6 5B 1E B6 FE 1C 0D 07 32 82 8D 0D 96 45 7D 
85 50 85 50 40 79 8D 10 8D 10 40 77 83 60 83 60 
45 7D 83 60 83 60 4C 7F 83 60 83 60 4B 7B 85 50 
85 50 48 73 85 50 85 50 43 71 92 3C 92 60 45 7B 
85 50 85 50 40 7D FE 00 30 0B 79 FE 00 29 0B 77 
85 50 85 50 48 7F 85 50 85 50 4F 79 92 1B 92 60 
4A 73 85 50 85 50 4D 7F 85 50 85 50 51 7D 8B 20 
8B 20 54 7B 83 60 83 60 58 6D 83 60 83 60 56 71 
85 50 85 50 53 79 85 50 85 50 4F 6F 92 60 92 60 
4A 71 85 54 85 50 51 77 88 78 89 30 57 75 82 5F 
82 7D 56 64 82 4E 82 49 54 75 82 18 82 18 53 79 
82 51 82 51 4F 6F 82 3E 82 4C 4C 77 82 25 82 05 
45 77 AD 00 85 0A B6 07 73 3A 07 72 3B 07 71 3B 
07 70 3A 07 6F 3B 07 6E 3B 07 6D 3A 07 6C 3B 07 
6B 3B 07 6A 3B 07 69 3A 07 68 3B 07 67 3B 07 66 
3A 07 65 3B 07 64 3B 07 63 3B 07 62 3A 07 61 3B 
07 60 3B 07 5F 3A 07 5E 3B 07 5D 3B 07 5C 3A 07 
5B 3B 07 5A 3B 07 59 3B 07 58 3A 07 57 3B 07 56 
3B 07 55 3A 07 54 3B 07 53 3B 07 52 3B 07 51 3A 
07 50 3B 07 4F 3B 07 4E 3A 07 4D 3B 07 4C 3B 07 
4B 3A 07 4A 3B 07 49 3B 07 48 3B 07 47 3A 07 46 
3B 07 45 3B 07 44 3A 07 43 3B 07 42 3B 07 41 3B 
07 40 3A 07 3F 3B 07 3E 3B 07 3D 3A 07 3C 3B 07 
3B 3B 07 3A 3A 07 39 3B 07 38 3B 07 37 3B 07 36 
3A 07 35 3B 07 34 3B 07 33 3A 07 32 3B 07 31 3B 
07 30 3B 07 2F 3A 07 2E 3B 07 2D 3B 07 2C 3A 07 
2B 3B 07 2A 3B 07 29 3A 07 28 3B 07 27 3B 07 26 
3B 07 25 3A 07 24 3B 07 23 3B 07 22 3A 07 21 3B 
07 20 3B 07 1F 81 B1 53 07 78 83 60 96 FE 01 6D 
FF FE 00 72 67 88 4C C6 2C 1E B6 07 5A 1E 0A 32 
1E 5B 32 A8 46 96 37 7F 7E 81 04 39 7F 6B 6C 3A 
79 81 0F 81 04 3B 7F 62 6C 3C 7F 85 28 85 50 37 
7D 8D 1C 8D 10 33 79 83 66 83 60 37 7D 83 60 83 
60 3C 7F 83 45 83 60 3F 79 85 4F 85 50 3B 7F 85 
49 85 50 36 7F 92 1E 92 60 3C 7F 85 46 85 50 37 
7B 8D 25 8D 10 33 7D 83 3F 83 60 37 7B 83 55 83 
60 3C 7F 83 29 83 60 3F 79 85 46 85 50 3B 79 85 
2B 85 50 42 7F 8B 28 8B 20 44 7F 87 09 87 40 41 
7F 85 23 85 50 48 7F 85 2E 85 50 4D 7F 83 00 83 
60 4F 77 82 54 82 74 51 77 82 6A 82 5C 53 77 87 
2D 87 40 54 6C 82 12 81 70 51 77 85 46 85 50 4D 
6E 86 32 85 50 4A 69 82 7B 83 60 4B 75 82 7D 82 
41 4A 6E 82 3B 82 41 48 73 82 49 82 3E 47 77 82 
2B 82 41 43 70 82 40 82 36 40 77 82 51 82 49 39 
70 8E 59 8F 00 40 73 8E 4C 8F 00 45 7F 8F 08 8F 
00 51 7F 8E 5C 8E 5C FF 2F 

Track7
00 C7 1A 1E B7 07 78 1E 0A 50 1E 5B 32 87 F7 46 
97 FE 01 04 F1 FF 2F 

Track8
00 C8 5A 1E B8 07 41 1E 0A 40 1E 5B 1E 86 D6 26 
98 4C 73 6E 78 53 71 6E 78 4B 75 6E 78 52 6F 6E 
78 4A 71 6E 78 51 79 6E 78 49 7B 6E 78 50 77 6E 
78 48 6B 6E 78 4F 77 6E 78 46 77 6E 78 4D 79 6E 
78 45 73 6E 78 4C 77 6E 78 44 77 6E 78 4B 69 6E 
78 43 6F 6E 78 4A 79 6E 78 42 6F 6E 78 49 75 6E 
78 41 77 6E 78 48 75 6E 78 40 7D 6E 78 47 77 6E 
78 3F 79 6E 78 46 73 6E 78 3E 75 6E 78 45 79 6E 
78 3D 79 6E 78 44 73 6E 78 3C 7B 6E 78 43 79 6E 
78 39 7B 6E 78 40 7B 6E 78 3D 73 6E 78 44 7B 6E 
78 41 75 6E 78 48 75 FE 00 60 07 7B 6E 78 47 77 
6E 78 4E 79 6E 78 49 75 6E 78 50 79 6E 78 4C 7F 
6E 78 53 7F 6E 78 50 7F 6E 78 58 7B 6E 78 5B 78 
32 32 FF 2F 

Track9
00 C9 3C 1E B9 07 73 1E 0A 40 1E 5B 23 89 EB 26 
99 21 7F 95 48 00 15 7F 95 48 92 65 B9 07 73 35 
07 6E 28 07 69 1E 07 64 19 07 5F 14 07 5A 11 07 
55 0F 07 50 0C 07 4B 0B 07 46 09 07 41 09 07 3C 
07 07 37 06 07 32 06 07 2D 06 07 28 05 07 23 05 
07 1D 05 07 17 05 07 0F 05 07 08 40 FF 2F 


Track10
00 CA 03 1E BA 07 46 1E 0A 32 1E 5B 1E D9 26 9A 
45 79 46 81 04 40 7F 46 6C 45 79 46 81 04 48 79 
46 6C 3C 7F 46 81 04 3F 7F 46 6C 40 7F 46 81 04 
43 7F 46 6C 45 7F 46 81 04 3C 7F 46 6C 39 7F 46 
81 04 48 7F 46 6C 3B 7F 46 81 04 47 7F 46 6C 3A 
7F 46 81 04 46 7B FE 00 3F 07 FE 00 45 41 FE 00 
47 07 FE 00 4D 41 FE 00 4F 07 FE 00 55 27 86 3C 
FE 00 60 46 FE 00 5D 07 FE 00 63 41 FE 00 65 07 
FE 00 6B 41 FE 00 6D 07 FE 00 73 41 FE 00 75 07 
FE 00 7B 41 FE 00 7D 07 FE 00 83 41 FE 00 85 07 
FE 00 8B 41 FE 00 8D 07 FE 00 93 41 FE 00 95 07 
FE 00 9B 41 FE 00 9D 07 FE 00 A3 41 FE 00 A5 07 
FE 00 AB 41 FE 00 AD 07 FE 00 B3 41 FE 00 B5 07 
FE 00 BB 41 FE 00 BD 07 FE 00 C3 41 FE 00 C5 07 
FE 00 CB 41 FE 00 CD 07 FE 00 D3 41 FE 00 D5 07 
FE 00 DB 41 FE 00 DD 07 FE 00 E3 41 FE 00 E5 07 
FE 00 EB 41 FE 00 ED 07 FE 00 F3 41 FE 00 F5 07 
FE 00 FB 41 FE 00 FD 07 FE 01 03 41 FE 01 05 07 
FE 01 0B 41 FE 01 0D 07 FE 01 13 41 FE 01 15 07 
FE 01 1B 41 FE 01 1D 07 FE 01 23 41 FE 01 25 07 
FE 01 2B 41 FE 01 2D 07 FE 01 33 41 FE 01 35 07 
FE 01 3B 41 FE 01 3D 07 FE 01 43 41 FE 01 45 07 
FE 01 4B 41 FE 01 4D 07 FE 01 53 41 FE 01 55 07 
FE 01 5B 41 FE 01 5D 07 FE 01 63 41 FE 01 65 07 
FE 01 6B 41 FE 01 6D 07 FE 01 73 41 FE 01 75 07 
FE 01 7B 41 FE 01 7D 07 FE 01 83 41 FE 01 85 07 
FE 01 8B 41 FE 01 8D 07 FE 01 93 41 FE 01 95 07 
FE 01 9B 41 FE 01 9D 07 FE 01 A3 41 FE 01 A5 07 
FE 01 AB 41 FE 01 AD 07 FE 01 B3 41 FE 01 B5 07 
FE 01 BB 41 FE 01 BD 07 FE 01 C3 41 FE 01 C5 07 
FE 01 CB 41 46 82 D9 6C FE 01 D8 46 FE 01 D5 07 
FE 01 DB 41 FE 01 DD 07 FE 01 E3 41 FE 01 E5 07 
FE 01 EB 41 46 46 FF 2F 

Track11
00 CB 7A 1E BB 07 50 1E 0A 1E 1E 5B 1E 84 9B 26 
9B 36 57 64 81 70 36 5A 64 81 70 36 57 64 81 70 
36 5B 64 81 70 36 5B 64 81 70 36 58 64 81 70 36 
5E 64 81 70 36 5D 64 81 70 36 57 64 81 70 36 5A 
64 81 70 36 57 64 81 70 36 5B 64 81 70 36 5B 64 
81 70 36 58 64 81 70 36 5E 64 81 70 36 5D FE 00 
46 09 FE 00 4B 47 FE 00 4E 09 FE 00 53 47 FE 00 
56 09 FE 00 5B 47 FE 00 40 28 FE 00 44 28 FE 00 
48 28 64 81 99 60 36 68 64 81 70 36 5F FE 00 66 
09 53 64 81 70 36 51 64 81 70 36 51 FE 00 75 09 
FE 00 8E 28 61 64 81 70 36 63 FE 00 79 09 62 64 
81 70 36 62 64 81 70 36 62 64 81 70 36 6D 64 81 
70 36 63 64 83 FE 00 40 08 FE 00 A2 09 FE 00 3C 
0B FE 00 AA 09 FE 00 C3 28 61 64 81 70 36 63 FE 
00 AE 09 62 64 81 70 36 62 64 81 70 36 62 64 81 
70 36 6D 64 81 70 36 63 64 83 FE 00 75 08 FE 00 
D7 09 FE 00 71 0B FE 00 DF 09 FE 00 F8 28 61 64 
81 70 36 63 FE 00 E3 09 FE 00 6A 16 FE 00 E5 27 
64 81 70 36 61 64 81 70 36 63 FE 00 F9 09 FE 00 
80 16 85 50 36 57 64 81 04 36 57 64 6C 36 58 64 
81 04 36 58 64 6C 36 57 64 81 04 36 57 64 6C 36 
53 64 81 04 36 53 64 6C 36 59 64 81 04 36 59 64 
6C 36 59 64 81 04 36 59 64 6C 36 66 FE 00 BD 09 
57 64 81 04 36 57 64 6C 36 58 64 81 04 36 58 64 
6C FE 00 4D 0A 53 64 81 04 36 53 64 6C 36 59 64 
81 04 36 59 FE 00 3E 0C 66 FE 00 EA 09 FE 00 68 
37 FE 00 F2 09 FE 00 70 37 FE 00 FA 09 FE 00 78 
37 FE 01 02 09 FE 00 80 37 FE 01 0A 09 FE 00 88 
37 FE 01 12 09 FE 00 90 37 FE 01 1A 09 FE 00 98 
37 FE 01 22 09 FE 00 A0 37 FE 01 2A 09 FE 00 A8 
37 FE 01 32 09 FE 00 B0 37 FE 01 3A 09 FE 00 B8 
37 FE 01 42 09 FE 00 C0 37 FE 01 4A 09 FE 00 C8 
37 FE 01 52 09 FE 00 D0 34 64 FF 2F 

Track12
00 CC 00 1E BC 07 7F 1E 0A 32 1E 5B 1E 81 8D 66 
9C 45 0A 3C 3C 45 0C 3C 3C 45 0F 3C 3C 45 13 3C 
3C 45 16 3C 3C 45 1A 3C 3C 45 1F 3C 3C 45 24 3C 
3C 45 29 3C 3C 45 2F 3C 3C 45 36 3C 3C 45 3E 3C 
3C 45 47 3C 3C 45 52 3C 3C 45 5E 3C 3C 45 6E 3C 
3C 45 7F 87 40 F0 40 FE 00 46 41 75 83 60 F8 00 
4A 75 83 60 DA 00 45 75 83 60 F0 40 FE 00 5B 41 
75 83 60 E1 40 FE 00 64 41 75 83 60 81 D3 70 44 
64 81 48 87 40 44 64 81 48 96 40 44 64 81 48 87 
40 44 64 81 48 87 40 45 64 81 48 87 40 46 64 81 
48 87 40 45 64 81 48 87 40 46 64 81 48 96 40 44 
64 81 48 87 40 44 64 81 48 83 60 46 73 81 5C 81 
70 48 75 83 60 F8 00 4D 75 83 60 9C 10 4B 71 81 
5C 81 70 4A 75 83 60 96 40 43 73 83 60 83 60 44 
71 83 60 83 60 45 75 83 60 9C 10 43 71 81 5C 81 
70 45 75 83 60 9C 10 43 7F 81 5C 81 70 45 7F 83 
60 83 60 FF 2F 

Track13
00 CD 1D 1E BD 07 7F 1E 0A 4B 1E 5B 0A 86 D6 26 
9D 2D 7A 81 66 81 70 39 7A 81 66 81 70 2C 7A 81 
66 81 70 38 74 81 66 81 70 27 7A 81 66 81 70 33 
78 81 66 81 70 28 7A 81 66 81 70 34 7A 81 66 81 
70 29 78 81 66 81 70 35 7A 81 66 81 70 2E 7A 81 
66 81 70 3A 7A 81 66 81 70 27 7A 81 66 81 70 33 
7A 81 66 81 70 2A 7A 81 66 81 70 36 7A 81 66 81 
70 29 7A 81 66 81 70 35 7A FE 00 48 10 FE 00 54 
07 7A 81 66 81 70 26 7A 81 66 81 70 32 7A 81 66 
81 70 26 56 81 34 81 70 27 49 81 34 81 70 26 58 
81 34 81 70 27 58 81 34 81 70 26 63 81 34 81 70 
27 64 81 34 81 70 26 71 81 34 81 70 27 69 81 34 
81 70 26 71 81 34 81 70 2C 7F 81 34 00 27 7F 81 
34 81 70 26 54 81 34 81 70 27 46 81 34 81 70 26 
5B 81 34 81 70 27 7F 81 34 00 2C 7F 81 34 81 70 
26 60 81 34 81 70 27 44 81 34 81 70 26 4C FE 00 
6A 0B 52 81 34 81 70 27 55 81 34 81 70 26 66 FE 
00 63 17 7A 81 34 81 70 27 7F 81 34 00 2C 7F 81 
34 FE 00 91 09 5C 81 34 81 70 26 6D FE 00 4B 10 
58 81 34 81 70 27 55 81 34 81 70 26 6A 81 34 81 
70 28 7F 81 34 00 2D 7F 81 34 81 70 26 40 81 34 
81 70 27 4E FE 00 68 0A 29 7F 81 34 00 2E 7F 81 
34 81 70 26 50 FE 00 B9 0B 60 81 34 81 70 28 7F 
81 34 00 2D 7F 81 34 81 70 26 50 FE 00 E7 0B 56 
81 34 81 70 29 7F 81 34 00 2E 7F FE 00 E5 0B 51 
81 34 81 70 26 66 FE 00 93 0B 54 81 34 81 70 27 
60 81 34 81 70 26 76 FE 00 EF 0B 7A 81 34 81 70 
27 73 81 34 81 70 26 FE 00 A4 0E 81 70 26 5D FE 
00 BC 0B 63 FE 00 E3 10 7A FE 00 FA 09 A6 70 CD 
03 1E BD 07 64 1E 0A 4B 1E 5B 0A 8F 1E 9D 34 7A 
30 78 34 75 30 78 34 70 30 78 34 6B 30 78 34 66 
30 78 34 60 30 78 34 5B 30 78 34 56 30 78 34 51 
30 78 34 4C 30 78 34 47 30 78 34 42 30 78 34 3C 
30 78 34 37 30 78 34 32 30 78 39 71 30 78 39 44 
30 78 39 51 30 78 39 5B 30 78 39 64 30 78 39 6A 
30 78 39 6E 30 78 39 71 30 78 39 71 30 78 39 71 
30 78 39 6D 30 78 39 67 30 78 39 5E 30 78 39 55 
30 81 70 39 3B 30 81 70 40 50 30 78 40 5E 30 78 
40 6A 30 78 40 73 30 78 40 7A 30 78 40 7E 30 78 
40 7F 30 78 40 7F 30 78 40 7E 30 78 40 7A 30 78 
40 75 30 78 40 6E 30 78 40 65 30 78 40 5A 30 78 
40 4E 30 78 45 4E 30 78 45 51 30 78 45 54 30 78 
45 57 30 78 45 5A 30 78 45 5D 30 78 45 60 30 78 
45 65 30 78 45 68 30 78 45 6B 30 78 45 6E 30 78 
45 71 30 78 45 74 30 78 45 77 30 81 70 45 7D 30 
30 FF 2F 

Track14
00 CE 2E 1E BE 07 7D 1E 0A 5A 1E 5B 37 87 F5 56 
9E 43 7D 87 40 87 40 FF 2F 

Track15
00 CF 7B 1E BF 07 6E 1E 0A 46 1E 5B 1E 87 83 26 
9F 34 78 83 60 90 70 34 5A 6E 87 40 34 5A 6E 96 
40 34 5A 6E 87 40 34 5A 6E 87 40 34 5A 6E 87 40 
34 5A 6E 87 40 34 5A 6E 87 40 34 5A 6E 96 40 34 
5A 6E 87 40 34 5A 6E 85 50 34 78 83 60 83 60 FF 
2F 
